p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	cluster
RPS10.2	5.18034343857979e-127	0.274255493132677	0.446	0.011	5.13320231328872e-122	RPS10.2	AER
FREM2	3.96551457283101e-124	1.05502435014595	0.93	0.128	3.92942839021825e-119	FREM2	AER
SEPTIN9	2.28106757207877e-123	0.549326173541657	0.764	0.076	2.26030985717285e-118	SEPTIN9	AER
CDH26	2.28977968783213e-123	0.67166694076691	0.841	0.103	2.26894269267286e-118	CDH26	AER
COL5A3	3.90081748680764e-123	0.975138587950148	0.962	0.206	3.86532004767769e-118	COL5A3	AER
TRAF3	2.23236656643773e-120	1.05928578668237	0.968	0.202	2.21205203068315e-115	TRAF3	AER
DLX2	4.00962898415394e-120	0.344254162206212	0.325	0.001	3.97314136039814e-115	DLX2	AER
KRT19.1	1.628511829439e-119	0.8816373280589	0.758	0.085	1.61369237179111e-114	KRT19.1	AER
GDF10.1	6.45240213122348e-118	0.339733835726596	0.312	0	6.39368527182935e-113	GDF10.1	AER
EGFL6	2.55917565009432e-117	0.346651756974567	0.516	0.025	2.53588715167846e-112	EGFL6	AER
VASN	1.01317156856236e-115	0.296449679169029	0.522	0.026	1.00395170728844e-110	VASN	AER
PRDX2	8.06368833511219e-113	0.427478973850203	0.503	0.026	7.99030877126267e-108	PRDX2	AER
AMEX60DD201041838.1	8.21547381148048e-112	0.985013807946639	0.943	0.204	8.14071299979601e-107	AMEX60DD201041838.1	AER
TCF7	1.2589665729355e-110	0.341305446731216	0.58	0.04	1.24750997712179e-105	TCF7	AER
PLTP	7.7803672646571e-108	0.352955058532202	0.548	0.036	7.70956592254872e-103	PLTP	AER
MSX2	3.55120253796061e-107	0.757088526896473	0.694	0.082	3.51888659486517e-102	MSX2	AER
CLDN3	3.85133277236773e-107	1.13433424249412	1	0.348	3.81628564413918e-102	CLDN3	AER
GADD45B	1.82682358029053e-106	0.741413476249712	0.904	0.159	1.81019948570989e-101	GADD45B	AER
RPS17.1	4.91181572044005e-106	0.282984866838466	0.459	0.022	4.86711819738405e-101	RPS17.1	AER
XELAEV-18036116MG	5.90431365114179e-105	0.26914975417507	0.376	0.01	5.8505843969164e-100	XELAEV-18036116MG	AER
BHLHA9	9.04682525394661e-105	0.42152904807635	0.522	0.034	8.9644991441357e-100	BHLHA9	AER
BCAT1	8.79373850889603e-104	0.258828082134416	0.414	0.016	8.71371548846508e-99	BCAT1	AER
UCMA	1.0368179333984e-101	0.962409695098074	0.949	0.271	1.02738289020448e-96	UCMA	AER
LOC108705671	1.93786416905615e-101	0.6883807775223	0.707	0.088	1.92022960511774e-96	LOC108705671	AER
RPL18.1	1.6290944454838e-99	1.14661212871803	1	0.594	1.6142696860299e-94	RPL18.1	AER
RPS24.2	8.67239837153931e-98	0.967047890423093	1	0.529	8.5934795463583e-93	RPS24.2	AER
AMEX60DDU001007022.1	1.49554232331834e-96	0.613649931922065	0.847	0.137	1.48193288817614e-91	AMEX60DDU001007022.1	AER
TESC	8.66858225853054e-96	0.48352331743758	0.656	0.072	8.58969815997792e-91	TESC	AER
ND5.3	1.09793918930562e-95	1.45831496656264	1	0.874	1.08794794268294e-90	ND5.3	AER
P4HA3	1.11121658801455e-95	0.288910371425614	0.478	0.03	1.10110451706362e-90	P4HA3	AER
COX1.1	1.32565085802301e-95	-2.40131879352482	0	1	1.313587435215e-90	COX1.1	AEC
RPS8	2.03037392470848e-95	0.930411333888271	1	0.616	2.01189752199363e-90	RPS8	AER
COX3	2.04122889362528e-95	-1.92586048419746	0.115	0.999	2.02265371069329e-90	COX3	AEC
KRT12.6	2.21459254309713e-95	-2.41489830060692	0	0.999	2.19443975095495e-90	KRT12.6	AEC
ND4.2	2.39982593887086e-95	-1.87487534412867	0.357	1	2.37798752282714e-90	ND4.2	AEC
ND1	2.71654911730381e-95	-1.70120160066828	0.529	0.999	2.69182852033635e-90	ND1	AEC
LOC115481828	2.86158784529809e-95	-2.38938120050117	0	0.998	2.83554739590587e-90	LOC115481828	AEC
